time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
1.885,0.005,-0.012474911262844,-5.1324786545341,0.0046689792516496,-5.0441817830596,-0.0029338415089634,-5.0087551897575,-25.117788172132
1.89,0.005,-0.013486490526248,-5.0168594951868,-0.0037768002119947,-5.0188872325786,0.0018708299242662,-4.9860880416389,-27.234803662482
1.895,0.005,-0.014363388731898,-5.0752159233972,0.0012257983351341,-5.0617189404409,-0.0011207104046913,-5.0186526982376,-27.040304623516
1.9,0.005,-0.015355857544919,-5.0654246502999,-0.0008634034178678,-5.0097866778204,0.00069022855200713,-4.9769197313403,-25.420282145348
1.905,0.005,-0.016009837067111,-5.0302134392923,-0.016817264929159,-5.0687486989873,-0.0014499736870482,-5.0268637898456,-24.438630630184
1.91,0.005,-0.016730597422779,-5.0546764749083,-0.01567930114231,-4.9964728399692,0.0025562978900031,-4.9705660956012,-21.76855946833
1.915,0.005,-0.017075514072358,-5.1889567930097,0.013119767827832,-5.1001846054317,-0.00352303673173,-5.0302854587171,-21.250746777355
1.92,0.005,-0.017269448995416,-5.1857196820849,-0.20007082247275,-5.0707191927739,0.0037348309785954,-4.9706300324065,-20.76198569325
1.925,0.005,-0.017350800324149,-5.2701389381358,0.22451104768552,-5.2710085026332,-0.003922834680089,-5.0267863444718,-20.219300851586
1.93,0.005,-0.017363727131002,-6.6008157038445,-0.0076899924114971,-5.3952346234371,0.0044093122573476,-4.9770041368453,-15.989917457876
